item1,item2,count
domestic eggs,beef,59
frozen vegetables,sausage,59
fruit/vegetable juice,dessert,59
hygiene articles,rolls/buns,58
bottled water,cream cheese,58
rolls/buns,hard cheese,58
long life bakery product,pastry,58
bottled water,onions,58
dessert,sausage,58
bottled beer,pip fruit,58
pork,frankfurter,58
ice cream,whole milk,58
chocolate,bottled water,57
newspapers,butter,57
dessert,root vegetables,57
long life bakery product,whipped/sour cream,57
butter,chicken,57
soda,hamburger meat,57
chocolate,waffles,57
white bread,domestic eggs,57
bottled beer,butter,57
butter,beef,57
brown bread,butter,57
frozen vegetables,butter,57
pork,chicken,57
hygiene articles,bottled water,56
cream cheese,citrus fruit,56
shopping bags,margarine,56
fruit/vegetable juice,cream cheese,56
onions,tropical fruit,56
newspapers,curd,56
salty snack,tropical fruit,55
specialty bar,rolls/buns,55
hard cheese,root vegetables,55
beef,sausage,55
onions,citrus fruit,55
shopping bags,bottled beer,55
cream cheese,sausage,55
misc. beverages,other vegetables,55
cake bar,whole milk,55
sliced cheese,root vegetables,55
shopping bags,cream cheese,55
specialty bar,other vegetables,55
pastry,white bread,55
brown bread,pork,55
domestic eggs,pork,55
specialty chocolate,rolls/buns,55
beverages,yogurt,54
candy,yogurt,54
shopping bags,waffles,54
frozen meals,tropical fruit,54
white bread,whipped/sour cream,54
sugar,margarine,54
newspapers,chocolate,54
soda,meat,54
butter milk,tropical fruit,54
butter,pork,54
processed cheese,other vegetables,54
candy,tropical fruit,53
berries,citrus fruit,53
bottled beer,frankfurter,53
shopping bags,long life bakery product,53
long life bakery product,sausage,53
rolls/buns,soft cheese,53
chewing gum,soda,53
tropical fruit,ham,53
shopping bags,curd,53
rolls/buns,beverages,53
hygiene articles,root vegetables,53
canned beer,yogurt,53
pastry,dessert,53
dishes,whole milk,52
long life bakery product,root vegetables,52
soda,processed cheese,52
fruit/vegetable juice,frankfurter,52
hygiene articles,citrus fruit,52
sliced cheese,tropical fruit,52
salty snack,sausage,52
misc. beverages,bottled water,52
soda,onions,52
bottled water,chicken,52
oil,yogurt,52
chicken,sausage,52
meat,sausage,52
chocolate,long life bakery product,52
yogurt,meat,52
beverages,other vegetables,51
sugar,pastry,51
semi-finished bread,other vegetables,51
domestic eggs,frozen vegetables,51
napkins,bottled beer,51
bottled water,dessert,51
hard cheese,sausage,51
dessert,curd,51
bottled beer,brown bread,51
white bread,frankfurter,51
mustard,whole milk,51
newspapers,chicken,51
hamburger meat,sausage,51
napkins,pork,51
shopping bags,hygiene articles,51
salty snack,pastry,51
bottled beer,pork,51
salty snack,whipped/sour cream,51
oil,rolls/buns,50
canned fish,other vegetables,50
margarine,frozen vegetables,50
whipped/sour cream,onions,50
waffles,whipped/sour cream,50
domestic eggs,cream cheese,50
frozen vegetables,frankfurter,50
white bread,ham,50
ice cream,other vegetables,50
cream cheese,curd,50
soda,sliced cheese,50
root vegetables,meat,50
butter milk,root vegetables,50
butter milk,pip fruit,50
fruit/vegetable juice,beef,50
coffee,frankfurter,50
chewing gum,whole milk,50
salty snack,root vegetables,49
salty snack,rolls/buns,49
newspapers,canned beer,49
sugar,domestic eggs,49
coffee,domestic eggs,49
oil,citrus fruit,49
newspapers,frankfurter,49
waffles,sausage,49
bottled beer,coffee,49
red/blush wine,other vegetables,49
frozen fish,whole milk,49
shopping bags,berries,49
dessert,pip fruit,49
shopping bags,chicken,49
soda,ham,49
candy,chocolate,49
napkins,butter,49
ham,sausage,49
UHT-milk,tropical fruit,49
newspapers,bottled beer,49
berries,sausage,49
sugar,flour,49
shopping bags,butter,49
flour,yogurt,48
UHT-milk,root vegetables,48
brown bread,curd,48
fruit/vegetable juice,curd,48
butter,frankfurter,48
sugar,whipped/sour cream,48
pip fruit,beef,48
brown bread,cream cheese,48
whipped/sour cream,dessert,48
red/blush wine,bottled beer,48
domestic eggs,onions,48
fruit/vegetable juice,pork,48
shopping bags,beef,48
napkins,chocolate,48
rolls/buns,frozen meals,48
fruit/vegetable juice,sugar,47
canned beer,brown bread,47
sugar,tropical fruit,47
coffee,sugar,47
canned fish,whole milk,47
bottled water,sugar,47
rolls/buns,grapes,47
sugar,citrus fruit,47
sugar,pip fruit,47
hygiene articles,pip fruit,47
hygiene articles,domestic eggs,47
napkins,curd,47
soda,beverages,47
brown bread,dessert,47
beef,frankfurter,47
pip fruit,chicken,47
roll products,other vegetables,47
pastry,chicken,47
beef,chicken,47
napkins,brown bread,47
coffee,butter,47
pastry,frozen vegetables,47
specialty chocolate,yogurt,47
cat food,tropical fruit,47
shopping bags,specialty chocolate,47
napkins,long life bakery product,47
rice,whole milk,46
flour,root vegetables,46
oil,tropical fruit,46
coffee,margarine,46
margarine,cream cheese,46
yogurt,grapes,46
brown bread,white bread,46
frozen fish,other vegetables,46
bottled beer,domestic eggs,46
soda,oil,46
curd,beef,46
misc. beverages,rolls/buns,46
cat food,root vegetables,46
liquor,bottled beer,46
napkins,frozen vegetables,46
shopping bags,frozen meals,46
fruit/vegetable juice,butter milk,46
shopping bags,UHT-milk,46
rolls/buns,processed cheese,46
roll products,whole milk,46
brown bread,whipped/sour cream,46
margarine,chicken,46
canned vegetables,other vegetables,46
soda,butter milk,45
newspapers,coffee,45
chocolate,whipped/sour cream,45
chewing gum,other vegetables,45
newspapers,frozen vegetables,45
UHT-milk,citrus fruit,45
misc. beverages,tropical fruit,45
frozen meals,pip fruit,45
red/blush wine,soda,45
frozen vegetables,beef,45
pastry,hamburger meat,45
bottled beer,pastry,45
hygiene articles,pastry,45
soda,cat food,45
long life bakery product,pip fruit,45
baking powder,yogurt,45
shopping bags,cat food,45
baking powder,whipped/sour cream,45
specialty bar,yogurt,44
hard cheese,whipped/sour cream,44
butter milk,citrus fruit,44
berries,beef,44
brown bread,beef,44
white bread,citrus fruit,44
cake bar,soda,44
waffles,pip fruit,44
root vegetables,grapes,44
misc. beverages,yogurt,44
sugar,pork,44
pastry,cream cheese,44
pip fruit,hamburger meat,44
frozen vegetables,curd,44
coffee,frozen vegetables,44
shopping bags,candy,44
canned beer,pastry,44
napkins,margarine,44
bottled water,cat food,44
oil,whipped/sour cream,44
bottled water,white bread,43
long life bakery product,butter,43
detergent,root vegetables,43
shopping bags,sliced cheese,43
butter,hamburger meat,43
hygiene articles,sausage,43
curd,frankfurter,43
hygiene articles,butter,43
bottled water,grapes,43
salty snack,bottled water,43
long life bakery product,white bread,43
potted plants,other vegetables,43
chocolate,white bread,42
processed cheese,tropical fruit,42
candy,root vegetables,42
long life bakery product,bottled water,42
semi-finished bread,tropical fruit,42
pickled vegetables,rolls/buns,42
whipped/sour cream,hamburger meat,42
chocolate,pork,42
tropical fruit,hamburger meat,42
pasta,other vegetables,42
specialty bar,pastry,42
bottled beer,frozen vegetables,42
white bread,butter,42
dessert,citrus fruit,42
waffles,bottled water,42
hygiene articles,whipped/sour cream,42
pastry,berries,42
waffles,citrus fruit,42
specialty cheese,other vegetables,42
coffee,UHT-milk,42
mustard,rolls/buns,42
canned beer,citrus fruit,42
shopping bags,onions,42
curd,pork,42
beverages,tropical fruit,42
newspapers,UHT-milk,42
shopping bags,misc. beverages,42
rolls/buns,spread cheese,41
bottled water,oil,41
whipped/sour cream,ham,41
fruit/vegetable juice,sliced cheese,41
fruit/vegetable juice,hard cheese,41
white bread,pork,41
sliced cheese,pip fruit,41
domestic eggs,ham,41
canned beer,coffee,41
white bread,processed cheese,41
pastry,ham,41
shopping bags,frozen vegetables,41
long life bakery product,citrus fruit,41
newspapers,waffles,41
soda,pickled vegetables,40
soda,grapes,40
napkins,coffee,40
oil,sausage,40
pickled vegetables,root vegetables,40
domestic eggs,hamburger meat,40
waffles,long life bakery product,40
hard cheese,tropical fruit,40
cream cheese,butter,40
bottled water,berries,40
canned fish,rolls/buns,40
bottled beer,beef,40
flour,whipped/sour cream,40
soda,pasta,40
canned beer,root vegetables,40
napkins,beef,40
soda,hard cheese,40
napkins,salty snack,40
butter,onions,40
domestic eggs,UHT-milk,40
chocolate,bottled beer,40
brown bread,UHT-milk,40
napkins,cream cheese,40
soda,semi-finished bread,40
ice cream,tropical fruit,40
chocolate,frankfurter,40
salty snack,pip fruit,40
canned beer,fruit/vegetable juice,39
hard cheese,butter,39
cat food,rolls/buns,39
other vegetables,turkey,39
flower (seeds),whole milk,39
detergent,yogurt,39
citrus fruit,hamburger meat,39
red/blush wine,rolls/buns,39
red/blush wine,whole milk,39
fruit/vegetable juice,misc. beverages,39
pip fruit,ham,39
white bread,dessert,39
whole milk,packaged fruit/vegetables,39
bottled beer,white bread,39
fruit/vegetable juice,frozen meals,39
bottled beer,whipped/sour cream,39
margarine,UHT-milk,39
UHT-milk,whole milk,39
frozen dessert,whole milk,39
hygiene articles,curd,39
napkins,frankfurter,39
white wine,bottled water,39
shopping bags,hamburger meat,39
rice,other vegetables,39
candy,fruit/vegetable juice,39
fruit/vegetable juice,UHT-milk,39
specialty chocolate,bottled water,39
domestic eggs,dessert,39
waffles,salty snack,38
chewing gum,rolls/buns,38
canned vegetables,whole milk,38
onions,pork,38
chocolate,coffee,38
pasta,root vegetables,38
pastry,grapes,38
domestic eggs,hard cheese,38
hygiene articles,fruit/vegetable juice,38
fruit/vegetable juice,ham,38
salt,whole milk,38
sliced cheese,whipped/sour cream,38
frozen meals,root vegetables,38
bottled beer,curd,38
whipped/sour cream,butter milk,38
brown bread,meat,38
candy,citrus fruit,38
bottled water,sliced cheese,38
potted plants,yogurt,38
napkins,chicken,38
hygiene articles,margarine,38
shopping bags,butter milk,38
domestic eggs,berries,38
grapes,citrus fruit,38
coffee,chicken,38
brown bread,frozen vegetables,38
shopping bags,ham,38
chocolate,brown bread,38
long life bakery product,frozen vegetables,38
long life bakery product,domestic eggs,38
house keeping products,whole milk,38
dishes,yogurt,37
flour,rolls/buns,37
coffee,brown bread,37
bottled water,butter milk,37
baking powder,tropical fruit,37
pickled vegetables,yogurt,37
seasonal products,whole milk,37
sugar,frankfurter,37
berries,pip fruit,37
pickled vegetables,tropical fruit,37
oil,domestic eggs,37
fruit/vegetable juice,oil,37
waffles,fruit/vegetable juice,37
hamburger meat,chicken,37
margarine,white bread,37
cake bar,other vegetables,37
sliced cheese,butter,37
onions,frankfurter,37
brown bread,butter milk,37
hamburger meat,beef,37
chocolate,cream cheese,37
waffles,margarine,37
specialty cheese,whole milk,37
margarine,flour,37
coffee,beef,37
coffee,cream cheese,37
UHT-milk,pip fruit,37
fruit/vegetable juice,onions,37
butter,berries,37
cream cheese,beef,37
specialty chocolate,pastry,37
frozen meals,sausage,37
grapes,pip fruit,37
flower (seeds),other vegetables,37
cereals,whole milk,36
frozen dessert,other vegetables,36
candy,pastry,36
seasonal products,other vegetables,36
margarine,oil,36
onions,sausage,36
cling film/bags,whole milk,36
sugar,sausage,36
butter milk,sausage,36
chocolate,dessert,36
white wine,soda,36
root vegetables,ham,36
salty snack,citrus fruit,36
candy,sausage,36
cat food,citrus fruit,36
fruit/vegetable juice,berries,36
candy,bottled water,36
pastry,sliced cheese,36
brown bread,chicken,36
chicken,frankfurter,36
fruit/vegetable juice,chicken,36
whole milk,turkey,36
salt,other vegetables,36
chocolate,domestic eggs,36
pastry,UHT-milk,36
frozen meals,frozen vegetables,36
spread cheese,yogurt,35
bottled water,hard cheese,35
cat food,sausage,35
coffee,pork,35
oil,butter,35
candy,whipped/sour cream,35
newspapers,dessert,35
dessert,frankfurter,35
baking powder,rolls/buns,35
napkins,dessert,35
chocolate,salty snack,35
waffles,butter,35
waffles,white bread,35
shopping bags,sugar,35
cream cheese,dessert,35
baking powder,root vegetables,35
semi-finished bread,yogurt,35
fruit/vegetable juice,hamburger meat,35
whipped/sour cream,meat,35
sweet spreads,whole milk,35
napkins,cat food,35
yogurt,herbs,35
ice cream,yogurt,35
salty snack,domestic eggs,35
mayonnaise,other vegetables,35
white bread,frozen vegetables,35
canned beer,domestic eggs,35
shopping bags,specialty bar,34
cat food,beef,34
frozen potato products,whole milk,34
bottled beer,sugar,34
bottled beer,oil,34
long life bakery product,coffee,34
white bread,cream cheese,34
newspapers,white bread,34
detergent,soda,34
soft cheese,sausage,34
white bread,curd,34
sugar,curd,34
citrus fruit,meat,34
onions,pip fruit,34
baking powder,citrus fruit,34
semi-finished bread,rolls/buns,34
packaged fruit/vegetables,root vegetables,34
hygiene articles,pork,34
newspapers,long life bakery product,34
sliced cheese,citrus fruit,34
curd,chicken,34
waffles,pork,34
napkins,white bread,34
UHT-milk,sausage,34
pastry,butter milk,33
detergent,tropical fruit,33
sugar,brown bread,33
rolls/buns,ice cream,33
cream cheese,frankfurter,33
soft cheese,root vegetables,33
shopping bags,white wine,33
waffles,curd,33
domestic eggs,sliced cheese,33
tropical fruit,meat,33
long life bakery product,salty snack,33
napkins,sugar,33
hamburger meat,frankfurter,33
mustard,root vegetables,33
specialty chocolate,root vegetables,33
mayonnaise,whole milk,33
processed cheese,sausage,33
napkins,hard cheese,33
coffee,oil,33
chocolate,beef,33
long life bakery product,brown bread,33
domestic eggs,meat,33
bottled beer,onions,33
specialty chocolate,tropical fruit,33
frozen meals,citrus fruit,33
napkins,waffles,33
shopping bags,meat,33
flour,citrus fruit,32
flour,tropical fruit,32
newspapers,cream cheese,32
berries,pork,32
waffles,domestic eggs,32
cream cheese,butter milk,32
long life bakery product,curd,32
butter milk,curd,32
hamburger meat,pork,32
dishes,rolls/buns,32
red/blush wine,bottled water,32
long life bakery product,margarine,32
baking powder,sugar,32
soft cheese,tropical fruit,32
frozen fish,yogurt,32
shopping bags,semi-finished bread,32
meat,frankfurter,32
canned fish,yogurt,32
semi-finished bread,pastry,32
canned beer,chicken,32
hygiene articles,beef,32
long life bakery product,chicken,32
pastry,beverages,32
butter milk,frankfurter,32
coffee,curd,32
hygiene articles,coffee,32
flour,domestic eggs,32
seasonal products,yogurt,32
fruit/vegetable juice,grapes,32
cling film/bags,other vegetables,32
shopping bags,chewing gum,32
UHT-milk,pork,32
brown bread,onions,32
brown bread,hamburger meat,32
mustard,other vegetables,32
salty snack,pork,32
specialty bar,tropical fruit,32
canned beer,pip fruit,32
flour,curd,31
sugar,butter,31
newspapers,sugar,31
beverages,root vegetables,31
soda,spread cheese,31
baking powder,domestic eggs,31
newspapers,oil,31
frozen vegetables,onions,31
grapes,sausage,31
brown bread,berries,31
frozen vegetables,dessert,31
waffles,frankfurter,31
hard cheese,citrus fruit,31
hygiene articles,frankfurter,31
sugar,frozen vegetables,31
dessert,pork,31
packaged fruit/vegetables,other vegetables,31
butter,ham,31
domestic eggs,soft cheese,31
domestic eggs,frozen meals,31
spread cheese,whole milk,31
UHT-milk,frankfurter,31
salty snack,frankfurter,31
soups,other vegetables,31
napkins,onions,31
whipped/sour cream,herbs,31
curd,hamburger meat,31
pasta,yogurt,31
napkins,canned beer,31
oil,pork,31
newspapers,onions,31
cat food,pastry,31
roll products,root vegetables,31
cake bar,rolls/buns,31
processed cheese,root vegetables,31
bottled water,frozen meals,31
oil,beef,31
onions,beef,31
coffee,white bread,31
rice,root vegetables,31
chocolate,cat food,31
chocolate marshmallow,whole milk,31
newspapers,sliced cheese,31
salty snack,bottled beer,31
berries,chicken,31
chocolate,margarine,31
shopping bags,ice cream,31
specialty chocolate,chocolate,31
bottled water,beverages,30
waffles,coffee,30
UHT-milk,whipped/sour cream,30
baking powder,margarine,30
candles,whole milk,30
detergent,rolls/buns,30
pickled vegetables,sausage,30
margarine,dessert,30
